Dataset_Name,dataset_hash,status
1-ag-bezirke,52550c285e1cb1980cfc8b288016bca485e6fce1bd93c7826e1b722e96bf5c89,removed
1-personenhaushalte-anz,a39db5101d02ffc0aace16c7935e8f89d5efe92e0c5e95c3f2c7e7c14d4e5493,removed
15-ag-archaologische-fundstellen,f957c7ca31e960643c605891470851432cc884ee4e0cc43e4ebc1451dd0dd9bd,removed
15-jahresverbrauch-ha,734e200b8b689fd3b0fe93d3e91736f95c771e4668789d5028d0014481cfc42b,removed
15-jahresverbrauch,802cee76d5311cd1ade50d3eb34da10ef384215e8735c2a89321e2bf307bb527,removed
159-ch-waldabstandslinien,d54e69e61bd9c890aff59fe94e8ecc3bdecc933240a8e98bfc8c17c0b99fc394,removed
16-ag-bevolkerungsschutzregionen,3104117594bc3d498392374965ca6d0f49f1eff4553d4365135abf60c9f2b908,removed
17-ag-beurteilungsgebiete-zur-schutzraumsteuerung,bcde9a7f2a058495a92c60c6b38eaa2ca09f6d474d57b91f9afb5e2256c54380,removed
17-ch-inventar-der-historischen-verkehrswege-der-schweiz-regional-und-lokal,bf8344a444140224aef6fc9ccfbe8ef244d605607653d6b641cb1bcffa38253d,removed
184-ch-kantonale-ausnahmetransportrouten,106571c8757f03b73b6d210498512bc8a490ecd699fcdee73d7e850ba9ad4c90,removed
19-ag-polizeiregionen-oeffentlich,941443fc6117fa0cb1f2d8d81bb078c8666f28370d26b5cad269c0dfac8d7628,removed
2000-watt-areale,be70be53e963c09d8f9a6415cb01f53ce07cd481ea7512c98cc1b765fb05b486,removed
2013-2020-gas-exchange-at-pfynwald,a59b2b2a74e8aeea5e494c4fecc361de26fe167f154d5831f5e8e7a2ddab2e93,removed
2015-monitoring-geschaeftsliegenschaften,327c1e6d3eacbf4a1468a38af88a0533720149624ad15bed59213bc3d33bbb13,removed
2015-monitoring-landwirtschaft,716120f3de994d6f12e60b456904549bf83ac489bcfb716cce19a24d86e5553a,removed
2015-monitoring-schulanlagen,ba54f996cf1a982734a1c4da74b5a9dde27b1956d083e516ef1dbcfbe3544c2b,removed
2015-monitoring-verwaltungsgebaeude,993e68faf568e0c5007f05993007ec74d71a0999147c72436cafbc9a5b0a98ec,removed
2015-monitoring-wohnen,957dffe9e0668641df27e635c9b53635fb20bcc3158f00e6c42249aafe43f22e,removed
2015-nachhaltigkeitsrosette-fondsvermoegen,fae0b119a3dfb11bc46fa18c5ad5e941f4e667bfa6115cf46e741a83d675389a,removed
2015-nachhaltigkeitsrosette-geschaeftsliegenschaften,398f9020f8ab51273a2988d3c437a9b6b123294166d797dead54749ef94cc9af,removed
2015-nachhaltigkeitsrosette-landwirtschaft,5837c76ef3c2b353f849711f3eec1ad1bb19b0c0bf1318feebbeae6e44f6b7bf,removed
2015-nachhaltigkeitsrosette-schulanlagen,e4a1ca3726eb0d4b3e0bc7428a5f4432ce255cd4603ba7e777f6a950d61b800d,removed
2015-nachhaltigkeitsrosette-verwaltungsgebaeude,f8008e3bb81d23f6cd0e5226304939a97e77e1117293b2f397518bb00554d60f,removed
2015-nachhaltigkeitsrosette-verwaltungsvermoegen,88be6d8f82148f623f047fdc8d9eb1961acb70656a9bb4bdc5621bbabbc7e30f,removed
2015-nachhaltigkeitsrosette-wohnen,c48b71a01ce69ce09ea5374b4b352bd408e03d780315de4e09dcc0951ea2e1c9,removed
2016-monitoring-eis-und-wasseranlagen,abf3fa71b909fbd835f39f5166f123aee5161944a912758fa5ff80c78fd30662,removed
2016-monitoring-geschaeftsliegeschaften,4804dc634291e7ef7dd53443b365879fab1960b7272bf8623443af97d45b63c2,removed
2016-monitoring-schulanlagen,727a1388fdc65fc46e894fc73e950d4bdea956009923718d4ed78e054fdfc77c,removed
2016-monitoring-sportanlagen,f12d6b18def02894645c9bc798b75eef9c5574bd2f188e29e363275810f04600,removed
2016-monitoring-verwaltungsgebaeude,ad5381410f3b6a96a6d8c9e47c11b5851297c1817673ddd6a98fc5bfccf9de8c,removed
2016-monitoring-wohnen,c777b6e80ef7e502407003573012049aa212a79bb81926eb4828e77775b4a64b,removed
2016-nachhaltigkeitsrosette-eis-und-wasseranlagen,48b382c81d7827b098de382e570c6bae63a22028d2c4719fb969ffa1a55e1fae,removed
2016-nachhaltigkeitsrosette-fondsvermoegen,ff93ec5f25aa94c59020f5991d2a6de2677e689fb949f07968cb7aff30253b82,removed
2016-nachhaltigkeitsrosette-geschaeftsliegenschaften,43a8881d6a16683d713ea69488857a9ffec5e7b35928ff509665bf3b9307a68c,removed
2016-nachhaltigkeitsrosette-landwirtschaft,07a7f4a4f89711cf358fe237afaaaf263cd2df92578c8076cf2470df76a35b75,removed
2016-nachhaltigkeitsrosette-schulanlagen,4280d84b34d6f71fd6e8839c729b47283b42e722d721be3eb3ddec1a4d5e557b,removed
2016-nachhaltigkeitsrosette-sportanlagen,94c2c2a451c9ea128c36a7a40b7b089b62e79dac77e6c9d905c2b3dc28e35fed,removed
2016-nachhaltigkeitsrosette-verwaltungsgebaeude,b9b4a24dd7863aff89af5fd08839be3967008194bda6488a4d04ecfd9ee869e0,removed
2016-nachhaltigkeitsrosette-verwaltungsvermoegen,1262bee48d34952f2c3d0ccbad5c57928698543ec871613e2e781cd0ce353da7,removed
2016-nachhaltigkeitsrosette-wohnen,e847efe1129252ae547afbe23fb0d9427c54222e67c8efc91652847d7e8f7145,removed
