Model,Precision,Recall,F1-Score
ner_model_after_epoch_1,0.8812949640287769,0.875,0.8781362007168458
ner_model_after_epoch_2,0.8920863309352518,0.8857142857142857,0.8888888888888888
ner_model_after_epoch_3,0.8945454545454545,0.8785714285714286,0.8864864864864865
ner_model_after_epoch_4,0.9125475285171103,0.8571428571428571,0.8839779005524862
ner_model_after_epoch_5,0.8901098901098901,0.8678571428571429,0.8788426763110307
ner_model_after_epoch_6,0.9029850746268657,0.8642857142857143,0.8832116788321168
ner_model_after_epoch_7,0.9070631970260223,0.8714285714285714,0.8888888888888888
ner_model_after_epoch_8,0.9132075471698113,0.8642857142857143,0.8880733944954129
ner_model_after_epoch_9,0.9132075471698113,0.8642857142857143,0.8880733944954129
ner_model_after_epoch_10,0.9307692307692308,0.8642857142857143,0.8962962962962963
