Methode,Precision,Recall,F1-Score,Accuracy
ner_model_10_epochs,0.023,0.019,0.02,0.86
ner_model_10_epochs_plus_entityruler,0.023,0.019,0.02,0.86
ner_model_1_epochs,0.023,0.018,0.019,0.859
ner_model_1_epochs_plus_entityruler,0.023,0.018,0.019,0.859
ner_model_2_epochs,0.024,0.02,0.021,0.859
ner_model_2_epochs_plus_entityruler,0.024,0.02,0.021,0.859
ner_model_3_epochs,0.023,0.019,0.02,0.86
ner_model_3_epochs_plus_entityruler,0.023,0.019,0.02,0.86
ner_model_4_epochs,0.023,0.019,0.02,0.858
ner_model_4_epochs_plus_entityruler,0.023,0.019,0.02,0.858
ner_model_5_epochs,0.022,0.019,0.02,0.86
ner_model_5_epochs_plus_entityruler,0.022,0.019,0.02,0.86
ner_model_6_epochs,0.022,0.019,0.02,0.859
ner_model_6_epochs_plus_entityruler,0.022,0.019,0.02,0.859
ner_model_7_epochs,0.023,0.019,0.02,0.859
ner_model_7_epochs_plus_entityruler,0.023,0.019,0.02,0.859
ner_model_8_epochs,0.023,0.019,0.02,0.861
ner_model_8_epochs_plus_entityruler,0.023,0.019,0.02,0.861
ner_model_9_epochs,0.023,0.019,0.02,0.859
ner_model_9_epochs_plus_entityruler,0.023,0.019,0.02,0.859
