text,correct_location
"Der **Kanton Alpendorf** bietet eine einzigartige Mischung aus alpiner Landschaft und modernster Infrastruktur für Touristen und Einheimische.","Alpendorf"
"Die **Stadt Fichtenwald** ist für ihre gut erhaltene Altstadt und die zahlreichen Wanderwege in den umliegenden Wäldern bekannt.","Fichtenwald"
"Die **Gemeinde Auenbach** hat einen hohen Anteil an landwirtschaftlich genutztem Boden und ist für ihre traditionellen Märkte bekannt.","Auenbach"
"Im **Kanton Zellberg** befindet sich eines der größten Naturreservate der Schweiz, das jedes Jahr zahlreiche Naturliebhaber anzieht.","Zellberg"
"Die **Stadt Märchental** ist berühmt für ihre mittelalterlichen Bauwerke und ihre Festivals, die Besucher aus dem In- und Ausland anlocken.","Märchental"
"Die **Gemeinde Tannenheim** ist bekannt für ihre wunderschönen Bergwiesen und die idyllische Lage inmitten der Schweizer Alpen.","Tannenheim"
"Der **Kanton Hohenstein** ist für seine herausragende Berglandschaft und das reichhaltige historische Erbe bekannt.","Hohenstein"
"**Weidendorf** liegt in einer fruchtbaren Ebene und ist ein Zentrum für nachhaltige Landwirtschaft und ökologische Projekte.","Weidendorf"
"Die **Stadt Schneebach** bietet ein einzigartiges Wintersportangebot und zieht sowohl Familien als auch Profisportler an.","Schneebach"
"Im **Kanton Felsenau** finden sich zahlreiche Sehenswürdigkeiten, darunter historische Schlösser und ein malerischer See.","Felsenau"
"Die **Stadt Lindenau** ist ein kulturelles Zentrum, bekannt für ihre Theater- und Musikszene sowie ihre Kunstgalerien.","Lindenau"
"Die **Gemeinde Windau** setzt sich aktiv für den Erhalt der lokalen Flora und Fauna ein und pflegt zahlreiche Wander- und Radwege.","Windau"
"Die **Stadt Krähenstadt** hat sich in den letzten Jahren zu einem wichtigen Handels- und Technologiezentrum entwickelt.","Krähenstadt"
"Im **Kanton Glücksburg** werden jährlich innovative Natur- und Kulturtourismus-Projekte realisiert, die internationale Anerkennung finden.","Glücksburg"
"Die **Gemeinde Hochweiler** ist besonders stolz auf ihre modernen Solaranlagen und nachhaltige Stadtentwicklung.","Hochweiler"
"Die **Stadt Elmsburg** ist für ihre historischen Denkmäler und die traditionelle Handwerkskunst bekannt.","Elmsburg"
"Der **Kanton Sturmheim** ist ein beliebtes Ziel für Wanderer und Outdoor-Sportler, mit spektakulären Gipfeln und Tälern.","Sturmheim"
"Die **Gemeinde Alpenruhe** fördert den sanften Tourismus und bietet zahlreiche Möglichkeiten für Naturbeobachtungen und Wanderungen.","Alpenruhe"
"Die **Stadt Hohenstein** hat ein großes Angebot an kulturellen Einrichtungen, darunter Museen, Theater und ein Opernhaus.","Hohenstein"
"Im **Kanton Zellbach** wird die Landnutzung nachhaltig gestaltet, um den natürlichen Lebensraum zu bewahren und die Landwirtschaft zu unterstützen.","Zellbach"
